Date : 2021-11-13 12:17:09
Directory : /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app
Total : 46 files,  1819 codes, 122 comments, 244 blanks, all 2185 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         25 |      1,326 |         30 |        175 |      1,531 |
| JSON       |          2 |        145 |          0 |          2 |        147 |
| XML        |          9 |        125 |         51 |         11 |        187 |
| Markdown   |          2 |         98 |          0 |         15 |        113 |
| Groovy     |          3 |         81 |          3 |         20 |        104 |
| YAML       |          1 |         23 |         37 |         16 |         76 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |         46 |      1,819 |        122 |        244 |      2,185 |
| android                                                                                                                                                |         12 |        153 |         53 |         31 |        237 |
| android/app                                                                                                                                            |          8 |        110 |         52 |         20 |        182 |
| android/app/src                                                                                                                                        |          7 |         64 |         49 |          9 |        122 |
| android/app/src/debug                                                                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                                                   |          5 |         56 |         43 |          7 |        106 |
| android/app/src/main/res                                                                                                                               |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                                      |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                                |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                                    |          7 |        222 |          2 |          9 |        233 |
| ios/Runner                                                                                                                                             |          7 |        222 |          2 |          9 |        233 |
| ios/Runner/Assets.xcassets                                                                                                                             |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                          |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                        |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                                  |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                    |         25 |      1,326 |         30 |        175 |      1,531 |
| lib/src                                                                                                                                                |         24 |      1,298 |         30 |        169 |      1,497 |
| lib/src/config                                                                                                                                         |          1 |          1 |          1 |          1 |          3 |
| lib/src/models                                                                                                                                         |          1 |         98 |          0 |         13 |        111 |
| lib/src/repositories                                                                                                                                   |          1 |         67 |         11 |         15 |         93 |
| lib/src/ui                                                                                                                                             |         21 |      1,132 |         18 |        140 |      1,290 |
| lib/src/ui/components                                                                                                                                  |          2 |        260 |         12 |         23 |        295 |
| lib/src/ui/functions                                                                                                                                   |          2 |         69 |          0 |          8 |         77 |
| lib/src/ui/functions/note_card_functions                                                                                                               |          2 |         69 |          0 |          8 |         77 |
| lib/src/ui/providers                                                                                                                                   |          1 |          6 |          0 |          2 |          8 |
| lib/src/ui/views                                                                                                                                       |         16 |        797 |          6 |        107 |        910 |
| lib/src/ui/views/home_view                                                                                                                             |          3 |        189 |          0 |         30 |        219 |
| lib/src/ui/views/home_view/components                                                                                                                  |          2 |         61 |          0 |          8 |         69 |
| lib/src/ui/views/note_creation_view                                                                                                                    |          5 |        237 |          6 |         34 |        277 |
| lib/src/ui/views/note_creation_view/components                                                                                                         |          4 |        144 |          0 |         21 |        165 |
| lib/src/ui/views/profile_view                                                                                                                          |          6 |        245 |          0 |         22 |        267 |
| lib/src/ui/views/profile_view/components                                                                                                               |          5 |        201 |          0 |         18 |        219 |
| lib/src/ui/views/tag_view                                                                                                                              |          2 |        126 |          0 |         21 |        147 |
| lib/src/ui/views/tag_view/components                                                                                                                   |          1 |         27 |          0 |          4 |         31 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/README.md                                                                     | Markdown   |         95 |          0 |         13 |        108 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/app/build.gradle                                                      | Groovy     |         46 |          3 |         11 |         60 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/app/src/debug/AndroidManifest.xml                                     | XML        |          4 |          3 |          1 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/app/src/main/AndroidManifest.xml                                      | XML        |         30 |         11 |          1 |         42 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/app/src/main/res/drawable-v21/launch_background.xml                   | XML        |          4 |          7 |          2 |         13 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/app/src/main/res/drawable/launch_background.xml                       | XML        |          4 |          7 |          2 |         13 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/app/src/main/res/values-night/styles.xml                              | XML        |          9 |          9 |          1 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/app/src/main/res/values/styles.xml                                    | XML        |          9 |          9 |          1 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/app/src/profile/AndroidManifest.xml                                   | XML        |          4 |          3 |          1 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/build.gradle                                                          | Groovy     |         27 |          0 |          5 |         32 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/gradle.properties                                                     | Properties |          3 |          0 |          1 |          4 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/gradle/wrapper/gradle-wrapper.properties                              | Properties |          5 |          1 |          1 |          7 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/android/settings.gradle                                                       | Groovy     |          8 |          0 |          4 |         12 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/ios/Runner/AppDelegate.swift                                                  | Swift      |         12 |          0 |          2 |         14 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                   | JSON       |        122 |          0 |          1 |        123 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                 | JSON       |         23 |          0 |          1 |         24 |
| /Users/carltonaikins/Desktop/Home/Programming/Flutter/projects/notes_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                     | Markdown   |          3 |          0 |          2 |          5 |
